iter	Passed	Remaining
0	520	780038
1	905	678560
2	1307	652376
3	1641	613897
4	2048	612449
5	2407	599404
6	2704	576795
7	3031	565425
8	3376	559309
9	3749	558727
10	4129	559015
11	4511	559380
12	4813	550574
13	5143	545983
14	5498	544383
15	5873	544766
16	6254	545650
17	6640	546746
18	7054	549864
19	7390	546876
20	7799	549284
21	8191	550315
22	8592	551815
23	8910	548009
24	9289	548103
25	9596	544062
26	10058	548732
27	10408	547165
28	10757	545656
29	11033	540658
30	11359	538296
31	11623	533232
32	11877	528005
33	12168	524677
34	12423	520010
35	12708	516793
36	13045	515836
37	13280	510941
38	13536	507081
39	13811	504114
40	14102	501825
41	14351	498184
42	14620	495401
43	14884	492549
44	15182	490902
45	15408	487031
46	15674	484582
47	15957	482712
48	16176	479030
49	16484	478053
50	16770	476487
51	17042	474567
52	17295	472195
53	17554	470066
54	17792	467453
55	18239	470311
56	18555	469744
57	18837	468350
58	19111	466761
59	19378	465075
60	19651	463578
61	19917	461950
62	20274	462442
63	20609	462429
64	20898	461372
65	21174	460055
66	21480	459424
67	21806	459225
68	22126	458893
69	22510	459856
70	22866	460223
71	23245	461030
72	23669	462697
73	23963	461777
74	24462	464790
75	24779	464298
76	25006	462125
77	25245	460242
78	25615	460759
79	25955	460713
80	26279	460373
81	26702	461751
82	26978	460587
83	27339	460864
84	27751	461985
85	28100	462017
86	28357	460568
87	28866	463180
88	29343	465214
89	29646	464462
90	29968	464012
91	30328	464157
92	30680	464165
93	30980	463395
94	31379	464092
95	31710	463765
96	32094	464210
97	32391	463395
98	32789	464020
99	33146	464056
100	33753	467535
101	34034	466473
102	34419	466831
103	34664	465307
104	34993	464919
105	35357	464989
106	35710	464908
107	35968	463597
108	36298	463218
109	36638	462975
110	36975	462698
111	37350	462875
112	37680	462504
113	37983	461800
114	38392	462378
115	38777	462653
116	38964	460586
117	39371	461113
118	39679	460488
119	39988	459865
120	40353	459894
121	40655	459211
122	41099	460116
123	41405	459462
124	41662	458292
125	41986	457855
126	42281	457106
127	42584	456451
128	42932	456284
129	43136	454587
130	43498	454578
131	43693	452827
132	43898	451194
133	44308	451686
134	44660	451563
135	44889	450211
136	45131	449010
137	45319	447287
138	45576	446256
139	45863	445534
140	46227	445553
141	46573	445400
142	46937	445411
143	47250	444943
144	47413	443067
145	47749	442828
146	48093	442654
147	48550	443510
148	48780	442299
149	49052	441470
150	49363	441001
151	49637	440209
152	50086	440954
153	50399	440508
154	50802	440836
155	51059	439895
156	51446	440076
157	51785	439845
158	52169	439991
159	52351	438447
160	52764	438829
161	53058	438224
162	53429	438252
163	53709	437535
164	54063	437419
165	54414	437280
166	54627	436042
167	54928	435506
